"Month","Classification of Index of Producer Prices of Agricultural Products","Index of Producer Prices of Agricultural Products (2005=100)"
"2015M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",121.1
"2015M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.8
"2015M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.0
"2015M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",118.3
"2015M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",123.8
"2015M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",124.1
"2015M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",124.5
"2015M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.8
"2015M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.4
"2016M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.7
"2016M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.5
"2016M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.3
"2016M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.1
"2016M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",121.8
"2016M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",121.3
"2016M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.4
"2016M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.6
"2016M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",118.8
"2016M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.0
"2016M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",122.0
"2016M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",122.7
"2017M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",123.3
"2017M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",123.9
"2017M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",124.4
"2017M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.6
"2017M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",121.1
"2017M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",120.3
"2017M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",124.1
"2017M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.0
"2017M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.6
"2017M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.6
"2017M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",129.2
"2017M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.1
"2018M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.4
"2018M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.8
"2018M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.1
"2018M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",128.6
"2018M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",125.3
"2018M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.9
"2018M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.2
"2018M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",131.0
